"Message ID";"Date";"Author";"Type";"Run";"DAQ Name";"Good";"Problem Type";"Beam";"Energy";"Particles";"Attenuator upstream";"Attenuator downstream";"Source";"Gaz";"Scintillator";"Dif_Scintillator";"Tcherenkov";"Dif_Tcherenkov";"Position Bati X";"Position Bati Y";"Position Bati Z";"Number Dif";"Dif_Id1";"Position1 Z";"Type1";"HV1";"Gas Channel1";"HV Channel1";"Dif_Id2";"Position2 Z";"Type2";"HV2";"Gas Channel2";"HV Channel2";"Dif_Id3";"Position3 Z";"Type3";"HV3";"Gas Channel3";"HV Channel3";"Dif_Id4";"Position4 Z";"Type4";"HV4";"Gas Channel4";"HV Channel4";"Dif_Id5";"Position5 Z";"Type5";"HV5";"Gas Channel5";"HV Channel5";"Dif_Id6";"Position6 Z";"Type6";"HV6";"Gas Channel6";"HV Channel6";"Dif_Id7";"Position7 Z";"Type7";"HV7";"Gas Channel7";"HV Channel7";"Dif_Id8";"Position8 Z";"Type8";"HV8";"Gas Channel8";"HV Channel8";"Dif_Id9";"Position9 Z";"Type9";"HV9";"Gas Channel9";"HV Channel9"
118;Sat  08 Oct 2016 08:19:12 +0200;"DAQ";"Data";"733663";"GIFPP_STRIP_13";"Not Set";;"ON";"150GeV";"Muons";"333";"221";"ON";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"0";"Unknown";"9300";;;"23";"160";"Unknown";"9300";;;"142";"180";"Unknown";"6800";;;"26";"200";"Unknown";"6800";;;"6";"200";"Unknown";"7000";;;;;;;;;;;;;;;;;;;;;;;;;;
119;Sat  08 Oct 2016 08:33:40 +0200;"DAQ";"Data";"733664";"GIFPP_STRIP_13";"Not Set";;"ON";"150GeV";"Muons";"333";"221";"OFF";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"0";"Unknown";"9300";;;"23";"160";"Unknown";"9300";;;"142";"180";"Unknown";"6800";;;"26";"200";"Unknown";"6800";;;"6";"200";"Unknown";"7000";;;;;;;;;;;;;;;;;;;;;;;;;;
120;Sat  08 Oct 2016 09:13:24 +0200;"DAQ";"Data";"733666";"GIFPP_STRIP_14";"Not Set";;"ON";"150GeV";"Muons";"333";"221";"OFF";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"0";"Unknown";"9300";;;"23";"160";"Unknown";"9300";;;"142";"180";"Unknown";"6800";;;"26";"200";"Unknown";"6800";;;"6";"200";"Unknown";"7000";;;;;;;;;;;;;;;;;;;;;;;;;;
121;Sat  08 Oct 2016 09:54:13 +0200;"DAQ";"Data";"733667";"GIFPP_STRIP_15";"Not Set";;"ON";"150GeV";"Muons";"333";"221";"OFF";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"0";"Unknown";"9300";;;"23";"160";"Unknown";"9300";;;"142";"180";"Unknown";"6800";;;"26";"200";"Unknown";"6800";;;"6";"200";"Unknown";"7000";;;;;;;;;;;;;;;;;;;;;;;;;;
122;Sat  08 Oct 2016 10:36:14 +0200;"DAQ";"Data";"733668";"GIFPP_STRIP_16";"Not Set";;"ON";"150GeV";"Muons";"333";"221";"OFF";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"0";"Unknown";"9300";;;"23";"160";"Unknown";"9300";;;"142";"180";"Unknown";"6800";;;"26";"200";"Unknown";"6800";;;"6";"200";"Unknown";"7000";;;;;;;;;;;;;;;;;;;;;;;;;;
123;Sat  08 Oct 2016 11:14:21 +0200;"DAQ";"Data";"733669";"GIFPP_STRIP_17";"Not Set";;"ON";"150GeV";"Muons";;;"OFF";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"0";"Unknown";"9300";;;"23";"160";"Unknown";"9300";;;"142";"180";"Unknown";"6800";;;"26";"200";"Unknown";"6800";;;"6";"200";"Unknown";"7000";;;;;;;;;;;;;;;;;;;;;;;;;;
124;Sat  08 Oct 2016 11:54:01 +0200;"DAQ";"Data";"733670";"GIFPP_STRIP_17";"No";"Test";"OFF";;;;;"OFF";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"0";"Unknown";"9300";;;"23";"160";"Unknown";"9300";;;"142";"180";"Unknown";"6800";;;"26";"200";"Unknown";"6800";;;"6";"200";"Unknown";"7000";;;;;;;;;;;;;;;;;;;;;;;;;;
125;Sat  08 Oct 2016 14:23:02 +0200;"DAQ";"Data";"733671";"GIFPP_STRIP_18";"Not Set";;"ON";"150GeV";"Muons";"333";"221";"OFF";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"0";"Unknown";"9300";;;"23";"160";"Unknown";"9300";;;"142";"180";"Unknown";"6800";;;"26";"200";"Unknown";"6800";;;"6";"200";"Unknown";"7000";;;;;;;;;;;;;;;;;;;;;;;;;;
126;Sat  08 Oct 2016 14:36:06 +0200;"DAQ";"Data";"733672";"GIFPP_STRIP_19";"Not Set";;"ON";"150GeV";"Muons";"333";"221";"OFF";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"0";"Unknown";"9300";;;"23";"160";"Unknown";"9300";;;"142";"180";"Unknown";"6800";;;"26";"200";"Unknown";"6800";;;"6";"200";"Unknown";"7000";;;;;;;;;;;;;;;;;;;;;;;;;;
127;Sat  08 Oct 2016 15:28:02 +0200;"DAQ";"Data";"733673";"GIFPP_STRIP_20";"Not Set";;"ON";"150GeV";"Muons";"333";"221";"OFF";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"0";"Unknown";"9300";;;"23";"160";"Unknown";"9300";;;"142";"180";"Unknown";"6800";;;"26";"200";"Unknown";"6800";;;"6";"200";"Unknown";"7000";;;;;;;;;;;;;;;;;;;;;;;;;;
128;Sat  08 Oct 2016 15:51:18 +0200;"DAQ";"Data";"733674";"GIFPP_STRIP_21";"Not Set";;"ON";"150GeV";"Muons";"333";"221";"OFF";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"0";"Unknown";"9300";;;"23";"160";"Unknown";"9300";;;"142";"180";"Unknown";"6800";;;"26";"200";"Unknown";"6800";;;"6";"200";"Unknown";"7000";;;;;;;;;;;;;;;;;;;;;;;;;;
129;Sat  08 Oct 2016 16:14:29 +0200;"DAQ";"Data";"733676";"GIFPP_STRIP_12";"Not Set";;"ON";;;"333";"221";"OFF";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"0";"Unknown";"9300";;;"23";"160";"Unknown";"9300";;;"142";"180";"Unknown";"6800";;;"26";"200";"Unknown";"6800";;;"6";"200";"Unknown";"7000";;;;;;;;;;;;;;;;;;;;;;;;;;
130;Sat  08 Oct 2016 16:37:43 +0200;"DAQ";"Data";"733677";"GIFPP_STRIP_12";"Not Set";;"ON";"150GeV";"Muons";"333";"221";"OFF";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"0";"Unknown";"9300";;;"23";"160";"Unknown";"9300";;;"142";"180";"Unknown";"6800";;;"26";"200";"Unknown";"6800";;;"6";"200";"Unknown";"7000";;;;;;;;;;;;;;;;;;;;;;;;;;
131;Sat  08 Oct 2016 21:14:16 +0200;"DAQ";"Data";"1";"1";"Not Set";;"Not Set";;;;;"Not Set";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"0";"Unknown";"Not Set";;;"23";"160";"Unknown";"Not Set";;;"142";"180";"Unknown";"Not Set";;;"26";"200";"Unknown";"Not Set";;;"6";"200";"Unknown";"Not Set";;;"28";"200";"Unknown";"Not Set";;;"32";"200";"Unknown";"Not Set";;;"125";"200";"Unknown";"Not Set";;;;;;;;
132;Sun  09 Oct 2016 03:59:47 +0200;"Maxime Gouzevitch";"Comments";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;Sun  09 Oct 2016 04:43:22 +0200;"DAQ";"Data";"733681";"GIFPP_STRIP_12";"Not Set";;"ON";;;"213";"213";"ON";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"0";"Unknown";"9300";;;"23";"160";"Unknown";"6800";;;"142";"180";"Unknown";"9300";;;"26";"200";"Unknown";"6800";;;"6";"200";"Unknown";"7000";;;;;;;;;;;;;;;;;;;;;;;;;;
